,doc,id,original_text,reference_summary,title
legalsum71,Facebook Terms of Service (Statement of Rights and Responsibilities),53cfb1e809cc3f9e24000104,you own all of the content and information you post on facebook and you can control how it is shared through your privacy and application settings. in addition for content that is covered by intellectual property rights like photos and videos ip content you specifically give us the following permission subject to yourprivacy and application settings you grant us a non exclusive transferable sub licensable royalty free worldwide license to use any ip content that you post on or in connection with facebook ip license. this ip license ends when you delete your ip content or your account unless your content has been shared with others and they have not deleted it. when you delete ip content it is deleted in a manner similar to emptying the recycle bin on a computer. however you understand that removed content may persist in backup copies for a reasonable period of time but will not be available to others when you use an application the application may ask for your permission to access your content and information as well as content and information that others have shared with you. we require applications to respect your privacy and your agreement with that application will control how the application can use store and transfer that content and information. to learn more about platform including how you can control what information other people may share with applications read our data use policy and platform page. when you publish content or information using the public setting it means that you are allowing everyone including people off of facebook to access and use that information and to associate it with you i e your name and profile picture.,facebook can use stuff that you post on or in connection with facebook that you have intellectual property rights to. facebook loses rights to your stuff if you delete it or your account so long as others have not shared without later deleting your stuff. publishing stuff using the public setting gives everyone else rights to that stuff.,Content
legalsum72,Facebook Terms of Service (Statement of Rights and Responsibilities),53cfb1e809cc3f9e24000103,if you include our social plugins such as the share or like buttons on your website the following additional terms apply to you we give you permission to use facebook s social plugins so that users can post links or content from your website on facebook. you give us permission to use and allow others to use such links and content on facebook. you will not place a social plugin on any page containing content that would violate this statement if posted on facebook.,you can t use facebook plugins on your own pages if stuff on those pages violates these terms.,
legalsum73,Facebook Terms of Service (Statement of Rights and Responsibilities),53cfb1e809cc3f9e24000102,facebook users provide their real names and information and we need your help to keep it that way. here are some commitments you make to us relating to registering and maintaining the security of your account you will not provide any false personal information on facebook or create an account for anyone other than yourself without permission. you will not create more than one personal account. if we disable your account you will not create another one without our permission. you will not use your personal timeline primarily for your own commercial gain and will use a facebook page for such purposes. you will not use facebook if you are under 13 you will not use facebook if you are a convicted sex offender. you will keep your contact information accurate and up to date. you will not share your password or in the case of developers your secret key let anyone else access your account or do anything else that might jeopardize the security of your account. you will not transfer your account including any page or application you administer to anyone without first getting our written permission. if you select a username or similar identifier for your account or page we reserve the right to remove or reclaim it if we believe it is appropriate such as when a trademark owner complains about a username that does not closely relate to a user s actual name.,you can t fake your personal info create a new account if facebook disables yours use a personal facebook only for business be under 13 be a convicted sex offender or transfer your account without permission. you can only have one personal account and have to keep your contact information accurate.,Account
legalsum74,Facebook Terms of Service (Statement of Rights and Responsibilities),53cfb1e809cc3f9e24000101,if you are a developer or operator of a platform application or website the following additional terms apply to you you are responsible for your application and its content and all uses you make of platform. this includes ensuring your application or use of platform meets our facebook platform policies and our advertising guidelines. your access to and use of data you receive from facebook will be limited as follows you will only request data you need to operate your application. you will have a privacy policy that tells users what user data you are going to use and how you will use display share or transfer that data and you will include your privacy policy url in the developer application. you will not use display share or transfer a user s data in a manner inconsistent with your privacy policy. you will delete all data you receive from us concerning a user if the user asks you to do so and will provide a mechanism for users to make such a request. you will not include data you receive from us concerning a user in any advertising creative. you will not directly or indirectly transfer any data you receive from us to or use such data in connection with any ad network ad exchange data broker or other advertising related toolset even if a user consents to that transfer or use. you will not sell user data. if you are acquired by or merge with a third party you can continue to use user data within your application but you cannot transfer user data outside of your application. we can require you to delete user data if you use it in a way that we determine is inconsistent with users expectations. we can limit your access to data. you will comply with all other restrictions contained in our facebook platform policies. you will not give us information that you independently collect from a user or a user s content without that user s consent. you will make it easy for users to remove or disconnect from your application. you will make it easy for users to contact you. we can also share your email address with users and others claiming that you have infringed or otherwise violated their rights. you will provide customer support for your application. you will not show third party ads or web search boxes on www facebook com. we give you all rights necessary to use the code apis data and tools you receive from us. you will not sell transfer or sublicense our code apis or tools to anyone. you will not misrepresent your relationship with facebook to others. you may use the logos we make available to developers or issue a press release or other public statement so long as you follow our facebook platform policies. we can issue a press release describing our relationship with you. you will comply with all applicable laws. in particular you will if applicable have a policy for removing infringing content and terminating repeat infringers that complies with the digital millennium copyright act comply with the video privacy protection act vppa and obtain any opt in consent necessary from users so that user data subject to the vppa may be shared on facebook. you represent that any disclosure to us will not be incidental to the ordinary course of your business. we do not guarantee that platform will always be free. you give us all rights necessary to enable your application to work with facebook including the right to incorporate content and information you provide to us into streams timelines and user action stories. you give us the right to link to or frame your application and place content including ads around your application. we can analyze your application content and data for any purpose including commercial such as for targeting the delivery of advertisements and indexing content for search to ensure your application is safe for users we can audit it. we can create applications that offer similar features and services to or otherwise compete with your application.,when you develop anything using facebook tools you must have a privacy policy and let users delete data. you let facebook analyze anything about your stuff for any purpose and let them build competing applications. you can t sell user data and you can t use it in a way that we determine is inconsistent with users expectations.,Developers
legalsum75,Facebook Terms of Service (Statement of Rights and Responsibilities),53cfb1e809cc3f9e24000100,we do our best to keep facebook safe but we cannot guarantee it. we need your help to keep facebook safe which includes the following commitments by you you will not post unauthorized commercial communications such as spam on facebook. you will not collect users content or information or otherwise access facebook using automated means such as harvesting bots robots spiders or scrapers without our prior permission. you will not engage in unlawful multi level marketing such as a pyramid scheme on facebook. you will not upload viruses or other malicious code. you will not solicit login information or access an account belonging to someone else. you will not bully intimidate or harass any user. you will not post content that is hate speech threatening or pornographic incites violence or contains nudity or graphic or gratuitous violence. you will not develop or operate a third party application containing alcohol related dating or other mature content including advertisements without appropriate age based restrictions. you will follow our promotions guidelines and all applicable laws if you publicize or offer any contest giveaway or sweepstakes promotion on facebook. you will not use facebook to do anything unlawful misleading malicious or discriminatory. you will not do anything that could disable overburden or impair the proper working or appearance of facebook such as a denial of service attack or interference with page rendering or other facebook functionality. you will not facilitate or encourage any violations of this statement or our policies. we respect other people s rights and expect you to do the same. you will not post content or take any action on facebook that infringes or violates someone else s rights or otherwise violates the law. we can remove any content or information you post on facebook if we believe that it violates this statement or our policies. we provide you with tools to help you protect your intellectual property rights. to learn more visit our how to report claims of intellectual property infringement page. if we remove your content for infringing someone else s copyright and you believe we removed it by mistake we will provide you with an opportunity to appeal. if you repeatedly infringe other people s intellectual property rights we will disable your account when appropriate. you will not use our copyrights or trademarks including facebook the facebook and f logos fb face poke book and wall or any confusingly similar marks except as expressly permitted by our brand usage guidelines or with our prior written permission. if you collect information from users you will obtain their consent make it clear you and not facebook are the one collecting their information and post a privacy policy explaining what information you collect and how you will use it. you will not post anyone s identification documents or sensitive financial information on facebook. you will not tag users or send email invitations to non users without their consent. facebook offers social reporting tools to enable users to provide feedback about tagging.,don t break these detailed lists of rules. basically don t do anything that negatively impacts the facebook platform or community.,Safety
legalsum76,Dropbox Terms of Service,531ca8704a169de51d00004b,thanks for using dropbox. these terms of service terms cover your use and access to the services client software and websites services provided by dropbox inc our privacy policy explains how we collect and use your information while our acceptable use policy outlines your responsibilities when using our services. by using our services you re agreeing to be bound by these terms and to review our privacy and acceptable use policies. if you re using our services for an organization you re agreeing to these terms on behalf of that organization.,by accepting these terms you also agree to the privacy and acceptable use policies linked in the right.,Introduction
legalsum77,Dropbox Terms of Service,531ca8704a169de51d00004a,when you use our services you provide us with things like your files content email messages contacts and so on your stuff. your stuff is yours. these terms don t give us any rights to your stuff except for the limited rights that enable us to offer the services. we need your permission to do things like hosting your stuff backing it up and sharing it when you ask us to. our services also provide you with features like photo thumbnails document previews email organization easy sorting editing sharing and searching. these and other features may require our systems to access store and scan your stuff. you give us permission to do those things and this permission extends to trusted third parties we work with.,dropbox along with their third parties are allowed to access scan store and duplicate content that you put on the service.,Your Stuff & Permissions
legalsum78,Dropbox Terms of Service,531ca8704a169de51d000049,you re responsible for your conduct your stuff and you must comply with our acceptable use policy. content in the services may be protected by others intellectual property rights. please don t copy upload download or share content unless you have the right to do so. we may review your conduct and content for compliance with these terms and our acceptable use policy. with that said we have no obligation to do so. we aren t responsible for the content people post and share via the services. please safeguard your password to the services make sure that others don t have access to it and keep your account information current. finally our services are not intended for and may not be used by people under the age of 13. by using our services you are representing to us that you re over 13 we respect the intellectual property of others and ask that you do too. we respond to notices of alleged copyright infringement if they comply with the law and such notices should be reported using our dmca process. we reserve the right to delete or disable content alleged to be infringing and terminate accounts of repeat infringers. our designated agent for notice of alleged copyright infringement on the services is.,you have to respect the content of others via the acceptable use policy and are responsible for any content you share. dropbox isn t liable for stuff you post on the site and can remove any copyright infringing material. also you must be over 13.,"Sharing, Conduct & Copyright"
legalsum79,Dropbox Terms of Service,531ca8704a169de51d000048,billing. you can increase your storage space and add paid features to your account turning your account into a paid account. we ll automatically bill you from the date you convert to a paid account and on each periodic renewal until cancellation. you re responsible for all applicable taxes and we ll charge tax when required to do so. no refunds. you may cancel your dropbox paid account at any time but you won t be issued a refund. downgrades. your paid account will remain in effect until it s cancelled or terminated under these terms. if you don t pay for your paid account on time we reserve the right to suspend it or reduce your storage to free space levels. you re responsible for all taxes and we may charge taxes when required to do so. changes. we may change the fees in effect but will give you advance notice of these changes via a message to the email address associated with your account.,you re responsible to pay any bills you re not entitled to any refunds and if you re late on payments dropbox can suspend or reduce the storage on your account. they can also change their pricing but will email you if they do.,Payment Terms
legalsum80,Dropbox Terms of Service,531ca8704a169de51d000047,you re free to stop using our services at any time. we also reserve the right to suspend or end the services at any time at our discretion and without notice. for example we may suspend or terminate your use of the services if you re not complying with these terms or use the services in a manner that would cause us legal liability disrupt the services or disrupt others use of the services. except for paid accounts we reserve the right to terminate and delete your account if you haven t accessed our services for 12 consecutive months. we ll of course provide you with notice via the email address associated with your account before we do so.,dropbox can end their services at any time without notice. for free accounts they can delete your account if you haven t used dropbox for 12 months. they ll email you before doing so.,Termination
legalsum81,Apple Website Terms of Service,53240cc52618a4a50400004d,ownership of site agreement to terms of usethese terms and conditions of use the terms of use apply to the apple web site located at www apple com and all associated sites linked to www apple com by apple its subsidiaries and affiliates including apple sites around the world collectively the site. the site is the property of apple inc apple and its licensors. by using the site you agree to these terms of use if you do not agree do not use the site apple reserves the right at its sole discretion to change modify add or remove portions of these terms of use at any time. it is your responsibility to check these terms of use periodically for changes. your continued use of the site following the posting of changes will mean that you accept and agree to the changes. as long as you comply with these terms of use apple grants you a personal non exclusive non transferable limited privilege to enter and use the site.,these terms apply to www apple com which is owned by apple. if you use this website you agree to the terms if not don t use the site. apple may change the terms at any time and it is your responsibility to check for changes and continued use of the site means you agree with the changes.,Full License Text
legalsum82,Apple Website Terms of Service,53240cc52618a4a504000048,apple s privacy policy applies to use of this site and its terms are made a part of these terms of use by this reference. to view apple s privacy policy click here. additionally by using the site you acknowledge and agree that internet transmissions are never completely private or secure. you understand that any message or information you send to the site may be read or intercepted by others even if there is a special notice that a particular transmission for example credit card information is encrypted.,apple s privacy policy applies to this site and its terms are part of these terms. you acknowledge and agree that the internet is never completely private or secure and that any message or information sent to this website may be read or intercepted by others.,Privacy
legalsum83,Apple Website Terms of Service,53240cc52618a4a504000044,you agree to indemnify and hold apple its officers directors shareholders predecessors successors in interest employees agents subsidiaries and affiliates harmless from any demands loss liability claims or expenses including attorneys fees made against apple by any third party due to or arising out of or in connection with your use of the site.,you agree to compensate apple for harm or loss and hold apple and people associated with them harmless from any demands loss responsibility claims or expenses made against them due to your use of the website.,Indemnity
legalsum84,Apple Website Terms of Service,53240cc52618a4a504000041,apple administers and operates the www apple com site from its location in cupertino california usa other apple sites may be administered and operated from various locations outside the united states. although the site is accessible worldwide not all features products or services discussed referenced provided or offered through or on the site are available to all persons or in all geographic locations or appropriate or available for use outside the united states. apple reserves the right to limit in its sole discretion the provision and quantity of any feature product or service to any person or geographic area. any offer for any feature product or service made on the site is void where prohibited. if you choose to access the site from outside the united states you do so on your own initiative and you are solely responsible for complying with applicable local laws.,not all apple products or services are available to everyone or in all locations. apple may limit any product or service to any person or area. products and services are not available where prohibited by law. you are responsible for complying with local laws if accessing the website outside of the u s.,Void Where Prohibited
legalsum85,Apple Website Terms of Service,53240cc52618a4a50400003f,any feedback you provide at this site shall be deemed to be non confidential. apple shall be free to use such information on an unrestricted basis.,apple may use your feedback without restrictions e g. share it publicly.,Feedback and Information
tosdr001,Privacy Policy,,search encrypt does not track search history in any user identifiable way. the most popular search engines create search profiles of specific users in order to retarget ads based on those search queries as the user navigates the internet. search encrypt does not track your search history in any user identifiable way.,this service does not track you.,
tosdr002,Privacy Policy,,we also provide you additional data control options created by the gdpr but provided to the stack overflow community regardless of geographic location with respect to your information including data access and portability including the right to obtain and download a copy of the personal data you provided to stack overflow data correction the ability to update the personal data we collect and display on you in many cases via your account settings data deletion where stack overflow will delete personal information stored on you which we are not required by necessity to maintain and the ability to have us stop processing your personal data with certain exceptions as may be necessary. for more information on these choices you have over how we collect and store your personal data please visit our gdpr page. please also be aware that in order to provide some of these data choices to you we may need to first verify your identity.,you can request access and deletion of personal data.,
tosdr003,Additional Terms of Service,,rvices you grant oath the following worldwide royalty free and non exclusive license the license to use distribute reproduce modify adapt publicly perform and publicly display such content on the services solely for the purpose for which such content was submitted or made available. this license exists only for as long as you elect to continue to include such content on the services and will terminate at the time you remove or oath removes such content from the services.,the copyright license granted to yahoo for photos graphics audio and video is limited solely for the purpose for which such content was submitted or made available.,
tosdr004,Terms and Conditions,,we may change these terms and conditions to reflect a changes in applicable laws. b regulatory or security requirements. c relevant guidance or codes of practice. d technical alterations to jagex products. and e to improve clarity and consistency. please check the terms and conditions whenever you use a jagex product. if you are not a subscriber we will treat your continued use of a jagex product as acceptance of these changes from their effective date as shown above. if you are a subscriber we will treat the first renewal date of your subscription after the changes as your acceptance of the changes. if you do not agree with the changes you should cancel your subscription as explained below in section 14 of these terms and conditions before the renewal date.,if you are a subscriber jagex will treat the first renewal date of your subscription after the changes as your acceptance of the changes.,
tosdr005,Privacy Policy,,it also enables us to serve you advertising and other relevant content on and off of the academia edu services.,the service uses your personal data to employ targeted third party advertising.,
tosdr006,Terms of Use,,you must not use any automated script or other software to collect information or content from cybernet s sites in any way.,users cannot scrape the website of the service.,
tosdr007,Terms of Use,,you are not permitted to attempt to overload flood spam mailbomb or crash the website or servers.,this service prohibits users sending chain letters junk mail spam or any unsolicited messages.,
tosdr008,Privacy / Terms,,no sale of personal information librarything will not sell or give personally identifiable information to any third party. this would be evil and we are not evil. yes still.,librarything will not sell or give personally identifiable information to any third party.,
tosdr009,Privacy Policy,,sharing data like address book contacts anonymous usage statistics and crash logs is completely optional on your part. you can opt out anytime.,the privacy policy states sharing data like anonymous usage statistics and crash logs is completely optional.,
tosdr010,Privacy Policy,,if you choose to create an account then the minimum we ask is that you choose a unique username and password use a web browser that accepts session cookies and provide a verified email address.,the service allows you to use pseudonyms.,
tosdr011,Data License,,supplementary data the remaining portions of the database are released under the creative commons attribution noncommercial sharealike 3 0 license.,you publish under a free license not a bilateral one.,
tosdr012,Privacy Policy,,you do not have to provide any personal data to be able to browse the contents of the databases published by metabrainz.,no need to register.,
tosdr013,Privacy Policy,,information collected automatically stack overflow receives and records information from your browser or mobile device when you visit the network or use the apps such as your internet protocol ip address or unique device identifier. cookies and data about which pages you visit on our network allow us to operate and optimize the products and services we provide to you. this information is stored in secure logs and is collected automatically. we may combine this browser information with other information we collect about you. this information is used to keep the products and services secure analyze and understand how our products and services are used optimize such usage provide advertising across the network as well as certain products and services to personalize your experience and to help connect you with potential job opportunities in the case of our recruiting products and services.,the service uses your personal data for advertising.,
tosdr014,Social Contract,,the client and server software will remain free and accessible under generally accepted open licenses.,features of the website are made available under a free software license.,
tosdr016,Privacy Policy,,i don t store any personally identifiable data about you as my visitor.,the service provides details about what kinds of personal information they collect.,
tosdr018,Privacy Policy,,you do not have to give your personal or legal name to create an npm account. you can use a pseudonym instead.,the service allows you to use pseudonyms.,
tosdr020,Open-Source Terms,,nothing in this agreement gives npm any ownership rights in intellectual property that you share with npm services such as your account information or any packages you share with npm services your content.,you maintain ownership of your data.,
tosdr021,Open-Source Terms,,your content belongs to you. you decide whether and how to license it. but at a minimum you license npm to provide your content to users of npm services when you share your content. that special license allows npm to copy publish and analyze your content and to share its analyses with others. npm may run computer code in your content to analyze it but npm s special license alone does not give npm the right to run code for its functionality in npm products or services.,users are free to choose the type of copyright license that they want to use over their content.,
tosdr022,Open-Source Terms,,you will indemnify npm its officers directors employees representatives and agents and hold them harmless for all liability expenses damages and costs from any third party claims demands lawsuits or other proceedings alleging that your content your use of npm services or both violate the intellectual property right of a third party this agreement or applicable law.,you agree to defend indemnify and hold the service harmless in case of a claim related to your use of the service.,
tosdr023,Open-Source Terms,,you must be at least 13 years of age to use npm services.,this service is only available to users of a certain age.,
tosdr025,Open-Source Terms,,use of npm services is at your sole risk. npm services are provided on an as is and as available basis.,the service is provided as is and to be used at the users sole risk.,
tosdr026,Open-Source Terms,,npm makes no warranty that npm services will meet your requirements operate in an uninterrupted timely secure or error free manner.,the service provider makes no warranty regarding uninterrupted timely secure or error free service.,
tosdr028,Open-Source Terms,,you will be solely responsible for any damage to your computer system and network as well as any data loss that may result from use of npm services or material received via npm services.,users are responsible for any risks damages or losses they may incur by downloading materials.,
tosdr029,Open-Source Terms,,npm services may provide information and software that is inaccurate incomplete misleading illegal offensive or otherwise harmful.,the service does not guarantee accuracy or reliability of the information provided.,
tosdr030,Open-Source Terms,,you will settle any dispute as an individual and not as part of a class action or other representative proceeding whether as the plaintiff or a class member.,you wave your right to a class action.,
tosdr031,Privacy Policy,,contests surveys and sweepstakes data this personal data is used to allow you to sign up and participate in these types of promotions. the exact personal data collected will vary depending on the promotion.,spotify may merge your current personal info with more if you participate in a special promotion.,
tosdr032,Terms and Conditions of Use,,if you do not want to continue to be charged on a recurring monthly basis you must cancel the applicable paid subscription through your spotify account s subscription page or terminate your spotify account before the end of the recurring monthly period. paid subscriptions cannot be terminated before the end of the period for which you have already paid and except as expressly provided in these terms spotify will not refund any fees that you have already paid. the limitation section sets forth additional terms regarding cancellation of your paid subscription.,spotify doesn t provide refunds.,
tosdr033,Terms and Conditions of Use,,to the fullest extent permitted by applicable law spotify and all owners of the content make no representations and disclaim any warranties or conditions of satisfactory quality merchantability fitness for a particular purpose or non infringement. neither spotify nor any owner of content warrants that the spotify service is free of malware or other harmful components.,there is no guarantee of quality of service. if the service is not delivered to your expectations you still pay for it to the extent of applicable law.,
tosdr034,Privacy Policy,,technical data which may include url information cookie data your ip address the types of devices you are using to access or connect to the spotify service unique device ids device attributes network connection type e g. wifi 3g lte bluetooth and provider network and device performance browser type language information enabling digital rights management operating system and spotify application version.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr035,Privacy Policy,,open book publishers will not send you email that you have not agreed to receive. if you are a member of our mailing list you may be contacted with announcements news portfolio additions and new products or services. with each email sent you have the option of unsubscribing from our mailing list at any time thereby disabling any further such email communication from being sent.,you can opt out of promotional communications.,
tosdr036,Privacy Policy,,where you request that we delete your account from our system we will immediately lock the account and archive the information then delete it from our severs within approximately 7 days from the date of your request.,you can delete your content from this service.,
tosdr037,Privacy Policy,,the app may use third party code and libraries that use cookies to collection information and to improve their services.,this service allows tracking via third party cookies for purposes including targeted advertising.,
tosdr039,Privacy Policy,,we also save searches but again not in a personally identifiable way as we do not store ip addresses or unique user agent strings.,this service does not track you.,
tosdr040,Privacy Policy,,if this policy is substantively updated we will update the text of this page and provide notice to you at https duckduckgo com about by writing updated in red next to the link to this page in the footer for a period of at least 30 days.,conditions may change but your continued acceptance is not inferred from an earlier acceptance flow.,
tosdr041,Privacy Policy,,we also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr042,Privacy Policy,,things could change. we may amend or terminate any terms of this agreement at any time and such amendment or termination will be effective at the time we post the revised terms on the site.,terms may be changed any time at their discretion without notice to the user.,
tosdr043,Terms of Service and Privacy (EU),,we may amend or update these terms. unless otherwise required by law we will provide you at least 30 days notice of amendments to our terms which will give you the opportunity to review the revised terms before continuing to use our services. we will also update the last modified date at the top of our terms. changes to these terms shall become effective no sooner than 30 days after we provide notice of planned changes. please note that we may not be able to provide such notice for changes to these terms that are required to address technical evolutions of our services or for changes made for legal reasons both of which will become effective immediately. your continued use of our services following the notice period of planned changes confirms your acceptance of our terms as amended.,they can change the terms of service any time they see fit even without notification to the user. your use of the service supposedly constitutes acceptance of the changes in the terms.,
tosdr044,Terms of Service and Privacy,,if you are not subject to the special arbitration provision for united states or canada users section below you agree that you will resolve any claim you have with us relating to arising out of or in any way in connection with our terms us or our services each a dispute and together disputes exclusively in the united states district court for the northern district of california or a state court located in san mateo county in california and you agree to submit to the personal jurisdiction of such courts for the purpose of litigating all such disputes. governing law. the laws of the state of california govern our terms as well as any disputes whether in court or arbitration which might arise between whatsapp and you without regard to conflict of law provisions.,the court of law governing the terms is in the state of california.,
tosdr045,Privacy Policy,,sharing with third parties we share information with third parties that help us operate provide improve integrate customize support and market our services. service providers we work with third party service providers to provide website and application development hosting maintenance backup storage virtual infrastructure payment processing analysis and other services for us which may require them to access or use information about you. if a service provider needs to access information about you to perform services on our behalf they do so under instruction from us including abiding by policies and procedures designed to protect your information. trello partners we work with third parties who provide consulting sales support and technical services to deliver and implement customer solutions around the services including the atlassian global partner network 7 we may share your information with these third parties in connection with their services such as to assist with billing and collections to provide localized support and to provide customizations. we may also share information with these third parties where you have agreed to that sharing like when you agree to us sharing your information with a trello expert for support related questions. third party apps you your administrator or other service users may choose to add new functionality or change the behavior of the services by enabling third party apps like power ups within the services. doing so may give third party apps access to your account and information about you like your name and email address and any content you choose to use in connection with those apps. if you are an administrator or contact listed on an account we share your details with the third party app provider upon installation. third party app policies and procedures are not controlled by us and this privacy policy does not cover how third party apps use your information. we encourage you to review the privacy policies of third parties before connecting to or using their applications or services to learn more about their privacy and information handling practices. if you object to information about you being shared with these third parties please disable the app. links to third party sites the services may include links that direct you to other websites or services whose privacy practices may differ from ours. your use of and any information you submit to any of those third party sites is governed by their privacy policies not this one. third party widgets some of our services contain widgets and social media features such as the twitter tweet button. these widgets and features collect your ip address which page you are visiting on the services and may set a cookie to enable the feature to function properly. widgets and social media features are either hosted by a third party or hosted directly on our services. your interactions with these features are governed by the privacy policy of the company providing it. with your consent we share information about you with third parties when you give us consent to do so. for example we often display personal testimonials of satisfied customers on our public websites. with your consent we may post your name alongside the testimonial. compliance with enforcement requests and applicable laws. enforcement of our rights in exceptional circumstances we may share information about you with a third party if we believe that sharing is reasonably necessary to a comply with any applicable law regulation legal process or governmental request including to meet national security requirements b enforce our agreements policies and terms of service c protect the security or integrity of our products and services d protect trello our customers or the public from harm or illegal activities or e respond to an emergency which we believe in good faith requires us to disclose information to assist in preventing the death or serious bodily injury of any person. for more information on how we respond to government requests see our guidelines for law enforcement8 and our transparency report 9.,third parties may be involved in operating the service.,
tosdr046,Information for Authors,,your work your copyright all our titles are published using creative commons licences. these licences mean that you are in full control of your own copyright and can choose how your work is used by other people. we recommend creative commons attribution licences cc by which allows others to copy distribute display and perform your copyrighted work but ensures that they must give you full credit.,users are free to choose the type of copyright license that they want to use over their content.,
tosdr047,Privacy Policy,,send do not track signals some browsers have incorporated do not track dnt features that can send a signal to the websites you visit indicating you do not wish to be tracked. because there is not yet a common understanding of how to interpret the dnt signal our services do not currently respond to browser dnt signals. you can use the range of other tools we provide to control data collection and use including the ability to opt out of receiving marketing from us as described above.,even though the do not track dnt header was not implemented perfectly services should not track users whose browsers send a dnt header.,
tosdr048,Iron Horse Games' Privacy Policy,,to measure reach and effectiveness of advertisement campaigns to offer targeted advertising to personalize experience by showing advertisements for products and services that are more likely to appeal to you i e. behavioral advertising.,the service uses your personal data to employ targeted third party advertising.,
tosdr049,Iron Horse Games' Privacy Policy,,information we collect about you from third party companies including but not limited to publishing partners platforms advertising platforms and partners and data aggregators which may include attributes about you and your interests as well as other games and services you use and demographic and general location information.,the service may collect extra data about you through promotions.,
tosdr050,Iron Horse Games' Privacy Policy,,ad identifiers are non permanent non personal identifiers such as the android advertising id and or apple s id for advertising the idfa which are uniquely associated with your device. similar technologies include tracking pixels within ads.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
tosdr051,License Terms,,you must be 18 to accept these terms and buy the app you must be 18 or over to accept these terms and buy the app.,this service is only available to users of a certain age.,
tosdr052,Terms of Service,,the failure of weebly to exercise or enforce any right or provision of these terms shall not constitute a waiver of such right or provision.,failure to enforce any provision of the terms of service does not constitute a waiver of such provision.,
tosdr053,Privacy Policy,,device information. in addition to log data we may also collect information about the device you re using pinterest on including what type of device it is what operating system you re using device settings unique device identifiers and crash data. whether we collect some or all of this information often depends on what type of device you re using and its settings. for example different types of information are available depending on whether you re using a mac or a pc or an iphone or an android phone. to learn more about what information your device makes available to us please also check the policies of your device manufacturer or software provider.,the service may use tracking pixels web beacons browser fingerprinting and or device fingerprinting on users.,
